,factor1_measure,factor2_measure,factor3_measure,factor4_measure,factor5_measure,factor6_measure,student
2055,0.0,0.0,0.0,11.0,0.0,,385718
2056,0.0,0.0,0.0,12.0,10.0,,385727
2057,0.0,0.0,0.0,12.0,0.0,,385738
2058,15.5,15.0,12.4444444444,14.75,18.7142857143,,385778
2059,0.0,0.0,0.0,12.5,10.0,,385810
2060,14.8,13.3333333333,14.4444444444,13.75,14.2857142857,,385814
2061,0.0,13.0,13.2222222222,14.0,15.4285714286,,385883
2062,13.6,15.6666666667,14.4444444444,15.0,15.1428571429,,385893
2063,14.1,14.6666666667,13.8888888889,13.5,13.4285714286,,386024
2064,0.0,0.0,0.0,0.0,12.0,,386030
2065,0.0,0.0,0.0,10.5,0.0,,386056
2066,16.3,14.3333333333,16.7777777778,15.25,15.2857142857,,386071
2067,0.0,0.0,12.8888888889,13.25,13.2857142857,13.5,386102
2068,0.0,,0.0,0.0,0.0,,386216
2069,0.0,10.0,0.0,13.0,12.0,,386237
2070,15.7,17.6666666667,16.3333333333,13.5,17.7142857143,,386296
2071,0.0,12.3333333333,0.0,13.75,12.0,0.0,386305
2072,13.9,14.0,15.8888888889,14.75,15.4285714286,14.5,386336
2073,0.0,10.6666666667,0.0,12.75,12.4285714286,,386347
2074,0.0,12.0,0.0,13.5,0.0,,386358
2075,0.0,0.0,0.0,11.0,0.0,,386476
2076,0.0,0.0,0.0,11.5,10.0,,386478
2077,15.3,14.6666666667,13.4444444444,14.75,14.0,,386612
2078,13.9,13.0,13.1111111111,14.5,12.7142857143,,386619
2079,12.3,12.6666666667,11.0,14.25,12.7142857143,,386629
2080,0.0,0.0,0.0,12.0,10.0,,386733
2081,12.1,0.0,11.5555555556,12.0,0.0,,386766
2082,0.0,0.0,0.0,11.0,11.0,,386786
2083,0.0,11.6666666667,11.8888888889,12.25,11.8571428571,,386787
2084,0.0,0.0,0.0,0.0,0.0,,386799
2085,11.5,0.0,0.0,13.0,14.1428571429,,386805
2086,0.0,0.0,0.0,0.0,0.0,,386815
2087,0.0,0.0,0.0,0.0,0.0,,386941
2088,0.0,0.0,0.0,11.0,11.0,,386947
2089,13.5,16.3333333333,15.0,14.0,14.8571428571,,386995
2090,18.3,18.3333333333,17.2222222222,16.5,17.7142857143,,386998
2091,0.0,0.0,0.0,12.5,10.0,,387292
2092,0.0,0.0,13.1111111111,14.0,14.0,,387293
2093,,,,,19.0,,387381
2094,11.8,12.6666666667,13.5555555556,13.0,14.8571428571,,387434
2095,0.0,14.6666666667,12.6666666667,13.0,11.5714285714,13.0,387453
2096,0.0,0.0,0.0,12.5,13.2857142857,,387454
2097,0.0,12.6666666667,0.0,15.5,0.0,,387455
2098,0.0,0.0,0.0,11.5,0.0,,387472
2099,0.0,0.0,0.0,12.5,0.0,,387482
2100,14.1,0.0,0.0,14.25,13.5714285714,,387616
2101,0.0,12.0,0.0,12.25,13.7142857143,12.25,387671
2102,0.0,0.0,0.0,11.5,13.5,,387799
2103,0.0,0.0,0.0,0.0,0.0,,387943
2104,0.0,0.0,0.0,12.0,0.0,,387954
2105,13.2,15.3333333333,15.3333333333,14.75,12.5714285714,,387967
2106,0.0,,0.0,13.0,0.0,,387987
2107,12.6,17.0,0.0,17.0,15.5714285714,,387991
2108,0.0,0.0,0.0,14.5,13.8571428571,,388017
2109,0.0,0.0,0.0,0.0,0.0,,388218
2110,0.0,0.0,0.0,12.0,11.0,,388222
2111,0.0,,0.0,11.0,0.0,,388234
2112,0.0,0.0,0.0,0.0,0.0,,388243
2113,0.0,0.0,0.0,14.0,13.7142857143,,388254
2114,0.0,0.0,0.0,14.0,0.0,,388255
2115,0.0,0.0,0.0,14.25,15.0,0.0,388261
2116,0.0,10.0,0.0,13.5,12.0,12.6666666667,388391
2117,11.8,0.0,0.0,14.0,11.2857142857,,388479
2118,0.0,,0.0,0.0,0.0,,388585
2119,11.375,14.6666666667,13.7777777778,14.5,13.6666666667,14.0,388833
2120,0.0,13.3333333333,13.1111111111,12.0,0.0,,391535
2121,0.0,,0.0,0.0,0.0,,437884
2122,0.0,0.0,0.0,11.5,10.0,,438930
2123,0.0,0.0,0.0,0.0,0.0,,439730
2124,15.2,15.6666666667,15.5555555556,13.25,17.3333333333,,440915
2125,0.0,15.6666666667,13.0,13.5,14.6666666667,14.3333333333,441942
2126,0.0,0.0,0.0,10.5,13.0,,441956
2127,0.0,0.0,0.0,10.5,0.0,,442221
2128,12.6,16.3333333333,0.0,14.0,14.3333333333,,442222
2129,0.0,13.0,0.0,13.0,16.0,,442224
2130,0.0,0.0,0.0,0.0,10.0,,442231
2131,0.0,0.0,0.0,11.0,12.6666666667,,442235
2132,0.0,0.0,0.0,0.0,0.0,,442972
2133,0.0,15.0,14.2222222222,15.0,11.3333333333,14.0,443450
2134,11.5,16.0,13.8888888889,14.25,13.3333333333,13.6666666667,443539
2135,0.0,,0.0,0.0,0.0,,443545
2136,14.7,15.3333333333,16.3333333333,14.25,13.3333333333,,443550
2137,0.0,13.3333333333,12.8888888889,15.0,12.0,13.3333333333,443551
2138,14.3,15.0,13.4444444444,14.75,14.3333333333,14.0,443564
2139,0.0,,0.0,11.0,11.0,,443576
2140,0.0,0.0,13.8888888889,12.0,11.3333333333,,443581
2141,12.5,12.3333333333,12.4444444444,12.75,12.6666666667,13.0,443583
2142,15.1,16.0,14.0,13.5,17.6666666667,,443584
2143,0.0,12.0,0.0,12.0,13.0,,443589
2144,12.4,10.3333333333,11.8888888889,14.0,10.0,,443596
2145,0.0,11.6666666667,0.0,12.5,11.0,,445399
2146,13.8,16.3333333333,14.1111111111,15.75,12.3333333333,,448871
2147,14.4,14.3333333333,0.0,13.75,15.3333333333,,449033
2148,13.3,14.6666666667,13.7777777778,14.75,16.6666666667,,449041
2149,0.0,13.3333333333,13.8888888889,14.75,16.0,,449042
2150,0.0,12.6666666667,12.6666666667,13.0,0.0,,449046
2151,14.9,18.0,16.4444444444,14.25,18.0,,449083
2152,0.0,13.0,0.0,14.5,14.0,,449085
2153,14.8,16.0,13.7777777778,13.75,16.0,14.6666666667,449105
2154,15.5,15.3333333333,14.0,14.0,15.3333333333,,449242
2155,0.0,10.0,0.0,12.0,0.0,,449259
2156,0.0,13.0,0.0,12.5,16.0,14.0,449276
2157,0.0,16.3333333333,16.5555555556,16.25,16.3333333333,17.0,449284
2158,0.0,11.0,0.0,13.5,0.0,,449301
2159,,,,0.0,,,449310
2160,0.0,0.0,0.0,10.0,0.0,,449343
2161,12.7,14.0,13.2222222222,13.75,17.0,15.6666666667,449344
2162,11.3,12.0,0.0,12.75,12.6666666667,,449345
2163,16.0,18.0,16.0,15.5,18.3333333333,15.3333333333,449358
2164,12.9,12.3333333333,0.0,14.75,15.6666666667,11.0,449361
2165,0.0,13.0,0.0,0.0,11.0,,449390
2166,0.0,0.0,,,,,449416
2167,12.7,14.3333333333,13.4444444444,12.75,13.0,,449441
2168,14.4,18.0,15.4444444444,15.25,17.0,17.0,449445
2169,13.6666666667,15.0,14.3333333333,14.5,16.0,,449457
2170,14.3,14.6666666667,14.1111111111,15.25,16.0,,449461
2171,0.0,,0.0,14.0,12.0,,449471
2172,13.3,15.0,12.3333333333,14.75,12.6666666667,,449486
2173,12.9,15.6666666667,14.3333333333,15.0,14.3333333333,14.6666666667,449518
2174,0.0,0.0,0.0,10.5,0.0,,449552
2175,14.5,15.6666666667,13.3333333333,15.0,15.6666666667,,449571
2176,0.0,13.6666666667,0.0,14.25,11.3333333333,13.3333333333,449577
2177,0.0,12.6666666667,11.8888888889,12.75,12.0,,449583
2178,14.9,17.6666666667,16.0,14.0,17.6666666667,16.0,449585
2179,14.3,14.3333333333,12.2222222222,15.25,15.0,,449620
2180,0.0,0.0,0.0,11.0,14.6666666667,,449627
2181,12.3,13.6666666667,12.7777777778,14.75,15.6666666667,,449667
2182,0.0,0.0,0.0,12.5,11.0,,449834
2183,17.5,18.3333333333,17.0,14.0,18.3333333333,15.3333333333,450064
2184,0.0,10.0,0.0,13.0,12.0,,450160
2185,0.0,0.0,0.0,10.0,0.0,,450190
2186,10.7,11.6666666667,12.7777777778,11.75,10.6666666667,0.0,450196
2187,16.6,17.0,15.1111111111,13.0,18.0,,450263
2188,0.0,0.0,0.0,10.5,0.0,,450408
2189,0.0,12.6666666667,0.0,15.5,0.0,14.0,450418
2190,0.0,13.0,0.0,12.0,12.0,,450619
2191,13.3,14.0,11.8888888889,13.0,15.0,,450657
2192,12.9,13.6666666667,12.8888888889,14.0,11.3333333333,,450685
2193,0.0,,0.0,0.0,0.0,,450751
2194,14.5,14.0,13.6666666667,15.0,15.0,,450807
2195,0.0,0.0,0.0,0.0,11.0,,450853
2196,0.0,10.0,0.0,11.0,13.0,,450879
2197,0.0,14.6666666667,12.7777777778,12.5,12.0,,450894
2198,0.0,13.6666666667,13.3333333333,13.25,11.3333333333,11.3333333333,450895
2199,12.5,13.0,12.4444444444,12.5,15.0,12.3333333333,451012
2200,0.0,,0.0,12.0,10.0,,451031
2201,16.7,18.6666666667,18.0,14.75,18.3333333333,,451199
2202,16.6,16.6666666667,16.5555555556,15.75,18.0,,451218
2203,0.0,0.0,0.0,11.5,11.0,,451224
2204,0.0,12.0,0.0,13.5,10.0,,451248
2205,0.0,0.0,0.0,12.0,0.0,,451387
2206,0.0,13.3333333333,12.3333333333,14.5,11.0,13.3333333333,451433
2207,15.6,16.3333333333,15.7777777778,14.25,18.0,,451510
2208,14.0,15.0,14.1111111111,14.25,16.0,,451530
2209,12.9,14.3333333333,13.7777777778,15.25,0.0,,451554
2210,0.0,13.3333333333,11.0,14.25,13.0,13.0,451585
2211,0.0,0.0,0.0,11.5,12.0,,451712
2212,13.1,12.6666666667,0.0,14.0,12.6666666667,16.3333333333,451728
2213,0.0,0.0,0.0,13.5,11.0,,451735
2214,0.0,13.0,14.2222222222,14.0,12.0,14.0,451769
2215,13.6,11.0,12.5555555556,14.5,14.0,,451774
2216,15.6,16.3333333333,15.8888888889,15.0,16.6666666667,16.0,451783
2217,,,,0.0,,,451899
2218,0.0,0.0,0.0,0.0,12.0,,451920
2219,0.0,10.6666666667,0.0,14.0,0.0,,451924
2220,12.9,14.0,13.0,15.5,15.6666666667,14.3333333333,451962
2221,0.0,0.0,0.0,12.25,11.0,,452012
2222,0.0,16.3333333333,15.6666666667,12.25,16.0,18.0,452013
2223,0.0,0.0,0.0,0.0,13.0,,452014
2224,11.1,14.3333333333,0.0,15.25,15.6666666667,13.6666666667,452024
2225,0.0,0.0,0.0,0.0,10.0,,452110
2226,0.0,10.0,0.0,11.0,0.0,,452194
2227,0.0,0.0,0.0,10.5,11.0,,452516
2228,13.6,13.6666666667,14.7142857143,14.25,11.0,,452602
2229,0.0,12.6666666667,0.0,13.0,13.0,,452630
2230,0.0,11.3333333333,0.0,12.75,14.0,,452632
2231,14.4,14.3333333333,13.8888888889,13.75,15.3333333333,,452700
2232,0.0,0.0,0.0,0.0,0.0,,452735
2233,16.1,15.6666666667,16.5555555556,15.75,13.3333333333,,452787
2234,0.0,0.0,0.0,11.5,10.0,,452923
2235,0.0,0.0,0.0,10.5,0.0,,452935
2236,0.0,14.0,12.3333333333,14.5,0.0,14.3333333333,453111
2237,0.0,12.0,0.0,12.5,14.0,,453198
2238,0.0,13.0,13.4444444444,13.75,15.0,,453322
2239,0.0,0.0,12.2222222222,13.0,12.0,,453361
2240,0.0,,0.0,13.0,10.0,,453403
2241,12.4,14.0,11.4444444444,12.75,0.0,12.3333333333,453462
2242,15.2,16.3333333333,14.1111111111,12.75,16.3333333333,,453524
2243,0.0,11.6666666667,13.5555555556,14.25,11.3333333333,,453533
2244,0.0,17.3333333333,16.2222222222,14.5,14.6666666667,,453537
2245,0.0,12.6666666667,11.7777777778,13.25,10.3333333333,,453539
2246,17.8,17.6666666667,18.1111111111,14.75,19.6666666667,15.6666666667,453553
2247,17.0,17.6666666667,15.2222222222,14.5,15.3333333333,,453574
2248,0.0,0.0,0.0,0.0,0.0,,453578
2249,0.0,15.3333333333,14.5555555556,13.25,11.6666666667,,453584
2250,12.6,11.3333333333,13.5555555556,12.75,15.3333333333,,453728
2251,0.0,0.0,0.0,11.0,11.0,,453736
2252,0.0,12.6666666667,0.0,14.5,13.0,12.6666666667,453752
2253,14.5,16.3333333333,17.7777777778,14.75,18.6666666667,16.3333333333,453833
2254,12.2,11.0,0.0,12.75,14.3333333333,,453866
2255,12.5,12.6666666667,13.0,12.5,11.3333333333,11.3333333333,453871
2256,0.0,0.0,0.0,0.0,13.0,,453938
2257,13.3,17.3333333333,16.0,16.75,13.3333333333,15.6666666667,453960
2258,0.0,0.0,0.0,12.5,15.3333333333,,453962
2259,0.0,0.0,12.6666666667,12.5,11.0,,453979
2260,0.0,0.0,0.0,13.0,0.0,12.5,453988
2261,0.0,13.3333333333,15.1111111111,13.75,14.0,,454125
2262,15.4,16.6666666667,17.4444444444,15.25,17.6666666667,17.3333333333,454160
2263,13.4,16.0,12.6666666667,14.0,13.3333333333,,454179
2264,0.0,10.0,0.0,11.5,10.0,,454193
2265,13.375,15.3333333333,0.0,13.5,14.0,,454205
2266,0.0,14.3333333333,11.5555555556,13.25,13.0,,454359
2267,16.1,17.6666666667,16.1111111111,16.0,16.3333333333,15.3333333333,454363
2268,0.0,0.0,0.0,12.5,0.0,,454448
2269,0.0,0.0,0.0,10.0,0.0,,454541
2270,0.0,0.0,0.0,12.0,13.0,,454568
2271,0.0,10.0,0.0,0.0,10.0,,454584
2272,11.7,13.6666666667,13.2222222222,13.75,16.0,14.0,454653
2273,12.8,13.3333333333,13.1111111111,13.75,15.3333333333,,454731
2274,0.0,14.0,0.0,11.5,0.0,,454764
2275,0.0,13.0,11.7777777778,11.5,14.3333333333,,454830
2276,0.0,,0.0,12.0,10.0,,454841
2277,12.7,12.3333333333,13.2222222222,14.75,11.6666666667,,454856
2278,0.0,0.0,0.0,0.0,13.0,,454897
2279,0.0,0.0,0.0,10.5,0.0,,454904
2280,15.8,16.3333333333,16.7777777778,14.75,18.0,16.0,455009
2281,11.9,14.0,12.0,15.0,14.6666666667,,455151
2282,15.6,17.0,16.1111111111,14.0,14.6666666667,,455154
2283,12.7,13.0,11.6666666667,14.75,17.3333333333,,455175
2284,15.4,16.0,15.3333333333,13.5,14.6666666667,,455309
2285,0.0,10.0,0.0,12.5,0.0,,455311
2286,0.0,0.0,14.2222222222,12.75,13.6666666667,,455349
2287,11.8,13.6666666667,12.5555555556,12.25,11.0,,455360
2288,0.0,12.5,0.0,14.0,11.5,,455386
2289,13.8,16.0,12.7777777778,14.0,15.3333333333,,455520
2290,0.0,0.0,0.0,10.5,12.0,,455568
2291,13.2,15.3333333333,14.1111111111,13.5,13.6666666667,,455596
2292,0.0,0.0,0.0,13.25,14.6666666667,,455599
2293,0.0,15.3333333333,0.0,14.0,14.0,,455611
2294,0.0,0.0,0.0,10.5,0.0,,455618
2295,13.6,14.3333333333,15.0,14.25,15.3333333333,14.0,455632
2296,0.0,14.0,15.5555555556,15.5,17.3333333333,,455635
2297,0.0,15.0,14.5555555556,14.75,15.0,14.0,455803
2298,0.0,16.0,0.0,13.0,0.0,,455860
2299,16.2,17.3333333333,15.3333333333,14.25,15.3333333333,,456007
2300,12.8,15.0,12.6666666667,13.25,12.6666666667,,456014
2301,0.0,15.0,11.7777777778,13.25,12.0,0.0,456027
2302,13.0,15.0,13.7777777778,13.0,11.6666666667,,456033
2303,0.0,0.0,0.0,14.0,10.3333333333,,456037
2304,0.0,0.0,0.0,13.0,11.3333333333,,456087
2305,0.0,13.0,10.6666666667,12.0,11.0,,456110
2306,14.3,13.3333333333,13.8888888889,14.5,11.3333333333,,456121
2307,0.0,10.6666666667,0.0,13.0,11.0,,456212
2308,0.0,,0.0,,12.0,,456228
2309,0.0,13.3333333333,0.0,14.5,12.6666666667,,456236
2310,11.1,10.6666666667,0.0,12.5,0.0,,456266
2311,0.0,0.0,0.0,0.0,0.0,,456365
2312,0.0,10.0,0.0,13.0,10.0,,456378
2313,15.2,14.3333333333,13.3333333333,16.75,17.0,,456393
2314,0.0,10.6666666667,0.0,13.5,14.0,,456467
2315,0.0,11.3333333333,0.0,15.25,10.0,,456556
2316,0.0,14.0,13.7142857143,12.5,0.0,11.3333333333,456559
2317,14.3,16.6666666667,0.0,13.5,15.3333333333,,456567
2318,14.3,15.0,16.2222222222,14.75,15.0,,456628
2319,0.0,0.0,0.0,0.0,10.0,,456675
2320,14.1,15.6666666667,13.2222222222,13.5,15.6666666667,15.3333333333,456700
2321,0.0,10.0,0.0,11.0,14.0,,456779
2322,13.9,13.3333333333,13.6666666667,14.75,13.0,,456792
2323,14.5,15.6666666667,15.5555555556,15.0,14.0,,456795
2324,0.0,11.6666666667,0.0,14.5,10.6666666667,12.0,456876
2325,0.0,12.6666666667,0.0,12.75,10.6666666667,,457046
2326,0.0,0.0,0.0,13.0,10.0,,457051
2327,16.9,18.0,16.1111111111,16.25,18.0,,457095
2328,0.0,0.0,0.0,15.0,0.0,,457105
2329,15.0,17.3333333333,17.7777777778,13.75,0.0,15.0,457210
2330,14.6,12.6666666667,13.3333333333,12.5,0.0,,457213
2331,17.1,16.0,18.5555555556,16.75,17.6666666667,17.3333333333,457257
2332,0.0,0.0,0.0,12.5,11.0,,457258
2333,0.0,0.0,0.0,11.5,11.0,,457271
2334,0.0,13.0,14.5555555556,14.0,14.3333333333,,457272
2335,0.0,0.0,0.0,10.5,0.0,,457293
2336,16.0,17.3333333333,16.6666666667,16.25,17.3333333333,,457302
2337,13.8,17.0,14.5555555556,14.25,0.0,,457330
2338,0.0,,0.0,10.0,14.0,,457339
2339,0.0,,0.0,13.0,0.0,,457386
2340,0.0,12.6666666667,0.0,14.0,14.6666666667,,457516
2341,14.8,14.6666666667,15.4444444444,12.5,16.3333333333,,457521
2342,17.3,17.3333333333,16.4444444444,15.75,17.0,16.0,457538
2343,13.6,14.0,12.5555555556,14.5,16.6666666667,,457559
2344,0.0,0.0,0.0,0.0,0.0,,457600
2345,0.0,14.6666666667,12.7777777778,14.25,15.6666666667,,457650
2346,13.6,16.3333333333,15.0,15.25,14.3333333333,17.0,457744
2347,0.0,,0.0,12.0,16.0,,457766
2348,0.0,0.0,0.0,10.0,12.0,,457940
2349,14.1,14.6666666667,14.6666666667,13.25,14.0,,458000
2350,14.4,16.3333333333,14.5555555556,14.75,12.3333333333,14.6666666667,458031
2351,11.8,13.3333333333,12.2222222222,13.75,12.0,,458066
2352,0.0,12.0,0.0,13.0,17.0,,458220
2353,0.0,0.0,11.8,12.5,11.6666666667,,458255
2354,12.1,13.0,0.0,12.25,12.6666666667,,458284
2355,17.2,17.6666666667,16.2222222222,16.25,18.3333333333,,458295
2356,0.0,12.3333333333,0.0,14.25,12.0,0.0,458451
2357,0.0,12.0,0.0,13.0,14.0,,458483
2358,15.4,16.0,14.6666666667,13.25,15.0,,458485
2359,0.0,0.0,0.0,13.5,0.0,,458510
2360,0.0,15.6666666667,0.0,14.25,14.0,15.0,458576
2361,14.0,15.6666666667,14.3333333333,15.75,16.3333333333,,458664
2362,17.2,17.3333333333,16.7777777778,12.75,16.0,,458758
2363,12.3,12.6666666667,12.0,14.5,13.3333333333,,458781
2364,16.8,17.6666666667,16.3333333333,15.5,17.0,,458787
2365,13.7,15.6666666667,13.3333333333,14.5,17.0,,458789
2366,0.0,0.0,0.0,0.0,0.0,,458835
2367,0.0,,0.0,11.0,10.0,,458882
2368,0.0,13.0,0.0,11.0,16.0,,458896
2369,12.3,17.3333333333,13.6666666667,14.0,18.6666666667,14.3333333333,458916
2370,0.0,0.0,0.0,10.0,0.0,,459077
2371,0.0,10.6666666667,0.0,13.0,0.0,,459085
2372,0.0,0.0,0.0,11.0,11.3333333333,,459099
2373,0.0,0.0,0.0,0.0,0.0,,459101
2374,0.0,,0.0,0.0,12.0,,459106
2375,13.9,16.0,13.3333333333,12.75,15.3333333333,,459145
2376,13.8,15.0,14.3333333333,14.75,14.0,,459932
2377,16.1,15.6666666667,14.2222222222,14.25,16.6666666667,,459948
2378,16.2,16.3333333333,15.2222222222,14.25,13.0,,460096
2379,0.0,14.0,0.0,12.5,0.0,,460119
2380,0.0,10.0,0.0,10.5,11.0,,460203
2381,14.3,15.6666666667,15.4444444444,13.5,13.6666666667,17.3333333333,460319
2382,0.0,,0.0,11.0,11.0,,460328
2383,0.0,0.0,0.0,13.75,14.0,10.3333333333,460360
2384,14.0,14.3333333333,15.2222222222,16.5,16.0,,460361
2385,16.6,16.3333333333,16.5555555556,14.75,13.3333333333,,460371
2386,0.0,12.0,0.0,11.5,11.0,,460375
2387,14.7,14.0,13.7777777778,13.75,12.6666666667,,460609
2388,11.4,12.0,0.0,13.0,15.0,,460610
2389,0.0,11.0,0.0,10.0,0.0,,460616
2390,0.0,11.0,0.0,12.5,0.0,,460623
2391,14.7,16.6666666667,15.5555555556,13.75,16.6666666667,14.6666666667,460627
2392,0.0,,0.0,0.0,10.0,,460654
2393,13.3,15.0,13.4444444444,15.0,17.3333333333,15.0,460664
2394,0.0,0.0,0.0,12.0,0.0,,460699
2395,0.0,0.0,0.0,11.0,0.0,,460701
2396,0.0,13.0,0.0,16.5,15.0,,460941
2397,13.5,13.3333333333,12.0,13.0,13.6666666667,14.0,461003
2398,0.0,0.0,0.0,11.5,11.0,,461224
2399,12.9,11.6666666667,12.5555555556,13.75,16.6666666667,,461225
2400,0.0,,0.0,0.0,0.0,,461255
2401,0.0,0.0,11.0,0.0,11.0,,461274
2402,0.0,,0.0,0.0,0.0,,461310
2403,0.0,12.3333333333,13.8888888889,13.5,11.6666666667,,461323
2404,0.0,11.0,10.7777777778,13.5,12.6666666667,,461331
2405,0.0,12.0,10.6666666667,13.75,0.0,,461335
2406,0.0,13.6666666667,13.3333333333,12.25,16.3333333333,,461392
2407,13.4,11.6666666667,0.0,14.0,11.3333333333,,461418
2408,0.0,0.0,0.0,11.0,0.0,,461529
2409,0.0,11.0,0.0,14.0,13.0,,461664
2410,14.3,13.3333333333,14.0,13.5,13.0,,461716
2411,0.0,13.0,0.0,12.5,13.0,,461821
2412,0.0,14.3333333333,11.2222222222,14.25,15.0,13.6666666667,461867
2413,0.0,,0.0,0.0,12.0,,461871
2414,0.0,13.3333333333,13.8888888889,14.25,15.3333333333,13.0,461903
2415,0.0,11.0,0.0,13.5,11.0,13.5,461946
2416,0.0,14.0,12.2222222222,13.25,12.6666666667,,461966
2417,0.0,0.0,0.0,10.5,10.0,,461968
2418,0.0,0.0,0.0,0.0,0.0,,462123
2419,15.1,14.6666666667,15.7777777778,13.25,13.3333333333,,462129
2420,0.0,,0.0,15.0,0.0,,462143
2421,0.0,10.0,0.0,14.0,0.0,,462144
2422,0.0,14.0,12.6666666667,14.25,13.0,,462174
2423,0.0,13.0,0.0,14.25,13.0,12.3333333333,462183
2424,12.6,11.6666666667,15.1111111111,13.25,12.0,,462309
2425,12.5,11.6666666667,14.3333333333,12.0,14.0,13.3333333333,462339
2426,0.0,0.0,0.0,12.0,0.0,,462381
2427,0.0,13.0,0.0,12.0,0.0,,462414
2428,0.0,0.0,0.0,12.0,10.0,,462438
2429,0.0,11.0,0.0,10.5,0.0,,462463
2430,11.8,14.0,12.7777777778,14.75,13.3333333333,15.6666666667,462469
2431,0.0,0.0,0.0,11.5,0.0,,462505
2432,0.0,0.0,0.0,0.0,0.0,,462551
2433,0.0,12.3333333333,12.3333333333,13.25,13.0,,462564
2434,0.0,0.0,0.0,0.0,0.0,,462683
2435,0.0,13.0,0.0,13.0,13.0,,462690
2436,0.0,11.3333333333,12.3333333333,13.75,11.3333333333,,462697
2437,17.4,16.6666666667,18.2222222222,15.5,18.0,15.3333333333,462725
2438,0.0,15.0,14.2222222222,13.0,16.3333333333,,462738
2439,0.0,12.0,0.0,11.5,12.0,12.0,462744
2440,16.3,19.0,17.7777777778,17.75,16.6666666667,18.3333333333,463107
2441,0.0,13.6666666667,0.0,13.5,11.3333333333,13.0,463117
2442,0.0,0.0,0.0,10.0,12.6666666667,,463161
2443,0.0,10.0,0.0,11.5,0.0,,463170
2444,13.1,12.6666666667,0.0,13.75,12.6666666667,,463173
2445,0.0,12.0,0.0,0.0,12.0,,463175
2446,12.3,11.6666666667,13.0,13.5,12.0,,463229
2447,0.0,10.6666666667,12.1111111111,13.75,14.6666666667,,463249
2448,0.0,0.0,0.0,0.0,10.0,,463250
2449,0.0,0.0,0.0,0.0,0.0,,463260
2450,0.0,12.3333333333,13.2222222222,14.5,11.3333333333,,463265
2451,0.0,0.0,0.0,11.5,14.0,,463285
2452,12.0,11.0,12.0,11.5,0.0,,463303
2453,0.0,12.0,0.0,15.75,12.6666666667,,463305
2454,0.0,,0.0,11.0,0.0,,463431
2455,0.0,11.0,0.0,13.5,0.0,,463843
2456,0.0,,0.0,0.0,0.0,,464149
2457,12.8,15.6666666667,13.0,14.25,14.3333333333,13.0,464150
2458,0.0,12.0,0.0,10.5,0.0,10.6666666667,464173
2459,0.0,15.0,13.6666666667,13.5,12.6666666667,,464191
2460,14.0,15.0,12.7777777778,13.5,18.0,,464353
2461,0.0,10.6666666667,0.0,13.75,10.3333333333,,464396
2462,0.0,13.0,0.0,14.75,12.3333333333,14.6666666667,464564
2463,0.0,10.0,0.0,11.5,12.5,,464772
2464,0.0,11.0,0.0,13.0,0.0,,464865
2465,16.2,15.0,14.3333333333,14.75,17.6666666667,,464919
2466,0.0,12.0,0.0,13.25,14.0,,465037
2467,15.0,15.3333333333,12.4444444444,13.5,16.0,12.6666666667,465095
2468,0.0,13.0,0.0,11.0,0.0,,465233
2469,11.3333333333,10.0,12.3333333333,14.5,12.0,,465277
2470,0.0,10.0,0.0,11.5,0.0,,465424
2471,0.0,10.0,12.6666666667,10.5,11.0,,465426
2472,12.1,14.6666666667,14.4444444444,14.75,14.6666666667,15.0,465440
2473,0.0,13.3333333333,11.5555555556,14.0,0.0,14.0,465844
2474,15.0,15.0,12.1111111111,14.75,18.3333333333,,465955
2475,0.0,11.6666666667,0.0,11.5,12.6666666667,11.0,466049
2476,15.6,16.0,16.1111111111,16.0,15.6666666667,,466106
2477,12.4,12.3333333333,14.0,12.75,16.3333333333,,466111
2478,12.9,13.6666666667,12.2222222222,14.25,14.3333333333,,466157
2479,13.4,16.0,15.4444444444,14.75,15.0,,466626
2480,0.0,12.6666666667,0.0,12.25,0.0,,466642
2481,14.0,13.0,12.6666666667,13.5,17.6666666667,,466649
2482,14.1,14.6666666667,15.6666666667,14.75,16.3333333333,,466824
2483,11.9,14.3333333333,12.5555555556,14.5,13.3333333333,12.3333333333,466845
2484,0.0,14.0,14.1111111111,0.0,18.6666666667,,466856
2485,11.6,13.3333333333,0.0,15.25,12.0,,467310
2486,13.0,13.3333333333,12.0,15.25,14.0,,467311
2487,0.0,10.6666666667,13.4444444444,15.0,13.3333333333,,467573
2488,0.0,10.0,0.0,12.0,0.0,,467706
2489,13.9,14.3333333333,14.3333333333,13.0,16.6666666667,,467715
2490,0.0,10.0,0.0,12.0,10.0,,467721
2491,0.0,0.0,0.0,0.0,0.0,,467722
2492,0.0,0.0,0.0,0.0,0.0,,467732
2493,0.0,0.0,0.0,10.5,11.0,,467737
2494,0.0,0.0,0.0,11.5,10.0,,467740
2495,13.7,11.6666666667,13.5555555556,14.25,16.0,,467753
2496,0.0,13.6666666667,11.4444444444,15.25,13.0,,467758
2497,0.0,0.0,0.0,0.0,0.0,,467759
2498,0.0,,0.0,13.0,0.0,,467766
2499,0.0,0.0,12.1111111111,13.0,12.0,,467789
2500,0.0,10.0,13.0,12.5,10.0,,467790
2501,0.0,,0.0,11.0,12.0,,467798
2502,0.0,0.0,11.6666666667,12.0,12.0,,467824
2503,13.2,15.3333333333,13.3333333333,14.0,17.3333333333,,467825
