,factor1_measure,factor2_measure,factor3_measure,factor4_measure,factor5_measure,factor6_measure,student
1290,13.6,13.0,12.7777777778,14.25,14.7142857143,,299129
1291,11.0,10.3333333333,0.0,13.0,11.2857142857,12.3333333333,299131
1292,0.0,0.0,0.0,0.0,0.0,,299142
1293,14.7,13.3333333333,15.2222222222,13.0,14.1428571429,,299169
1294,0.0,12.6666666667,13.0,13.75,12.4285714286,12.1666666667,299172
1295,12.6,13.3333333333,13.6666666667,13.75,13.0,,299181
1296,12.6,14.0,0.0,15.5,10.7142857143,,299194
1297,15.0,16.0,15.5555555556,14.25,16.0,,299208
1298,0.0,11.0,11.7777777778,12.0,12.2857142857,,299304
1299,0.0,0.0,0.0,12.0,13.0,,299310
1300,0.0,0.0,0.0,13.25,13.3333333333,,299319
1301,0.0,0.0,0.0,12.0,0.0,,299339
1302,0.0,10.0,0.0,10.0,0.0,,299358
1303,14.0,12.6666666667,12.3333333333,11.75,12.7142857143,,299379
1304,0.0,14.0,0.0,13.25,10.0,0.0,299419
1305,0.0,0.0,0.0,14.0,0.0,,299428
1306,0.0,0.0,0.0,0.0,0.0,,299446
1307,0.0,0.0,0.0,13.25,0.0,,299451
1308,0.0,13.0,12.3333333333,13.5,13.2857142857,13.125,299475
1309,0.0,0.0,0.0,13.0,0.0,,299478
1310,0.0,13.0,0.0,13.5,12.1428571429,,299485
1311,0.0,10.0,0.0,11.0,10.0,,299547
1312,,,,,13.0,,299635
1313,0.0,0.0,0.0,13.5,11.0,,299651
1314,0.0,14.0,0.0,12.5,11.1428571429,,299706
1315,0.0,0.0,0.0,13.5,13.1428571429,,299774
1316,12.8,12.0,12.4444444444,13.25,0.0,,299776
1317,0.0,0.0,0.0,14.5,10.8571428571,,299801
1318,12.5,13.0,12.6666666667,15.75,12.4285714286,,299803
1319,15.6,16.0,15.4444444444,14.25,17.2857142857,,299804
1320,,,,,13.5,,299852
1321,0.0,12.6666666667,0.0,14.5,11.0,,299896
1322,0.0,10.0,0.0,11.0,10.0,,299913
1323,0.0,10.6666666667,11.1111111111,12.25,12.1428571429,13.5,299924
1324,0.0,0.0,0.0,12.0,10.0,,299942
1325,13.7,13.0,13.6666666667,14.25,10.0,,299951
1326,13.2,13.6666666667,13.6666666667,13.75,12.0,,299966
1327,16.0,13.3333333333,17.0,16.25,14.4285714286,14.375,299968
1328,0.0,11.0,11.2222222222,13.0,0.0,,300010
1329,0.0,0.0,12.3333333333,14.0,12.0,12.125,300018
1330,0.0,11.0,0.0,13.5,11.0,,300162
1331,0.0,12.3333333333,0.0,14.75,14.2,,300169
1332,16.4,14.6666666667,16.3333333333,14.5,17.0,,300208
1333,12.1,12.3333333333,12.8888888889,15.75,13.2857142857,13.6666666667,300219
1334,13.3,14.0,12.8888888889,13.5,12.5714285714,,300275
1335,0.0,13.0,0.0,14.25,12.2857142857,,300321
1336,15.7,13.0,15.8888888889,13.75,13.2857142857,,300336
1337,0.0,0.0,0.0,11.5,0.0,,300362
1338,13.5,12.0,12.7777777778,13.5,11.5714285714,,300406
1339,12.6,10.6666666667,13.4444444444,16.5,15.4285714286,,300423
1340,,,,,13.5,,300477
1341,14.9,14.0,14.1111111111,14.25,0.0,,300690
1342,14.1,12.6666666667,0.0,12.25,13.8571428571,,300834
1343,13.3,12.3333333333,12.8888888889,13.25,16.0,15.75,300844
1344,0.0,0.0,0.0,11.0,12.0,,300957
1345,0.0,0.0,0.0,11.5,10.0,,300990
1346,,,,,15.5,16.4,301061
1347,,,,,15.0,,301095
1348,0.0,11.0,0.0,12.5,0.0,,301109
1349,0.0,0.0,0.0,12.0,11.0,,301111
1350,13.8,0.0,12.3333333333,14.5,0.0,,301138
1351,13.7,12.3333333333,13.5555555556,14.75,10.7142857143,13.5,301139
1352,0.0,0.0,0.0,0.0,13.0,,301220
1353,12.2,12.0,12.2222222222,12.0,11.7142857143,,301227
1354,0.0,0.0,0.0,0.0,0.0,,301229
1355,15.9,14.0,16.0,14.0,14.1428571429,15.0,301299
1356,13.5,13.3333333333,12.0,14.75,12.1428571429,,301304
1357,0.0,0.0,0.0,14.0,12.0,,301305
1358,0.0,11.6666666667,0.0,12.5,0.0,,301314
1359,0.0,0.0,0.0,0.0,0.0,,301324
1360,14.1,14.6666666667,14.1111111111,16.75,16.5714285714,,301334
1361,13.0,12.0,,,10.0,,301388
1362,,,,,11.5,,301397
1363,0.0,0.0,0.0,13.75,0.0,,301427
1364,,,,,15.0,,301437
1365,12.6,10.6666666667,11.7777777778,13.25,0.0,,301469
1366,0.0,0.0,0.0,13.5,11.3333333333,,301479
1367,0.0,12.6666666667,12.3333333333,13.75,12.8571428571,,301530
1368,,,,,14.0,,301599
1369,12.0,13.0,12.5555555556,12.5,12.8571428571,0.0,301603
1370,,,,,16.5,,301611
1371,,,,,15.0,,301613
1372,0.0,12.0,0.0,13.75,0.0,,301646
1373,0.0,11.6666666667,10.6666666667,13.5,0.0,,301648
1374,0.0,11.3333333333,0.0,15.25,15.4285714286,0.0,301713
1375,14.9,15.6666666667,14.3333333333,14.25,13.7142857143,,301716
1376,0.0,0.0,0.0,13.5,0.0,,301720
1377,0.0,0.0,0.0,14.0,0.0,,301733
1378,0.0,0.0,0.0,12.5,0.0,,301754
1379,0.0,12.6666666667,0.0,14.5,14.8,,301773
1380,15.4,13.6666666667,16.2222222222,12.75,13.1428571429,,301832
1381,,,,,0.0,14.4,301879
1382,12.4,12.6666666667,12.7777777778,14.0,11.2857142857,,301886
1383,12.0,10.0,0.0,14.0,14.1428571429,,301889
1384,17.7,19.3333333333,17.8888888889,16.5,16.0,,301892
1385,0.0,13.0,0.0,11.75,0.0,,301961
1386,0.0,13.3333333333,0.0,13.0,12.0,,301987
1387,0.0,0.0,0.0,12.0,10.0,,302153
1388,0.0,0.0,0.0,11.5,0.0,,302171
1389,0.0,0.0,0.0,14.0,12.0,,302192
1390,12.2,10.0,0.0,12.0,12.1428571429,,302195
1391,14.4,12.6666666667,14.4444444444,15.5,14.8571428571,,302224
1392,0.0,13.0,12.4444444444,15.5,14.5714285714,,302227
1393,0.0,0.0,0.0,11.0,0.0,,302251
1394,15.1,12.6666666667,17.5555555556,14.5,14.7142857143,,302270
1395,15.7,13.0,13.7777777778,12.75,14.7142857143,,302311
1396,15.7,13.0,14.7777777778,15.25,13.0,,302331
1397,0.0,0.0,0.0,11.5,12.0,,302361
1398,0.0,0.0,0.0,13.5,11.0,,302437
1399,13.0,14.0,0.0,15.5,0.0,,302440
1400,14.2,12.6666666667,13.1111111111,13.75,16.0,,302448
1401,,,,,13.0,,302490
1402,12.7,11.6666666667,0.0,13.0,11.2857142857,,302495
1403,0.0,0.0,0.0,12.0,10.0,,302506
1404,0.0,0.0,0.0,13.5,11.5714285714,,302527
1405,13.6,12.6666666667,13.4444444444,11.75,14.5714285714,,302554
1406,0.0,0.0,0.0,12.0,11.0,,302555
1407,12.7,10.6666666667,0.0,13.75,12.5714285714,,302567
1408,0.0,10.0,0.0,12.5,0.0,,302577
1409,0.0,10.0,0.0,15.0,10.0,,302584
1410,0.0,0.0,0.0,11.0,0.0,,302594
1411,0.0,11.0,0.0,13.5,0.0,,302739
1412,0.0,,0.0,10.0,0.0,,302740
1413,15.3,13.0,17.0,15.0,16.1428571429,14.6666666667,302765
